,Edition,Year,Points type,From,To,Points
858,turin-2022,2022,Points given by televoters,france,the netherlands,4
859,turin-2022,2022,Points given by televoters,greece,the netherlands,4
860,turin-2022,2022,Points given by televoters,iceland,the netherlands,8
861,turin-2022,2022,Points given by televoters,italy,the netherlands,4
862,turin-2022,2022,Points given by televoters,latvia,the netherlands,3
863,turin-2022,2022,Points given by televoters,lithuania,the netherlands,6
864,turin-2022,2022,Points given by televoters,moldova,the netherlands,8
865,turin-2022,2022,Points given by televoters,norway,the netherlands,1
866,turin-2022,2022,Points given by televoters,portugal,the netherlands,8
867,turin-2022,2022,Points given by televoters,slovenia,the netherlands,3
868,turin-2022,2022,Points given by televoters,switzerland,the netherlands,2
869,turin-2022,2022,Points given by televoters,ukraine,the netherlands,6
870,turin-2022,2022,Points given by the jury,albania,greece,8
871,turin-2022,2022,Points given by the jury,armenia,greece,8
872,turin-2022,2022,Points given by the jury,austria,greece,6
873,turin-2022,2022,Points given by the jury,bulgaria,greece,10
874,turin-2022,2022,Points given by the jury,croatia,greece,8
875,turin-2022,2022,Points given by the jury,denmark,greece,10
876,turin-2022,2022,Points given by the jury,france,greece,12
877,turin-2022,2022,Points given by the jury,iceland,greece,2
878,turin-2022,2022,Points given by the jury,italy,greece,12
879,turin-2022,2022,Points given by the jury,latvia,greece,10
880,turin-2022,2022,Points given by the jury,lithuania,greece,6
881,turin-2022,2022,Points given by the jury,moldova,greece,8
882,turin-2022,2022,Points given by the jury,the netherlands,greece,12
883,turin-2022,2022,Points given by the jury,norway,greece,12
884,turin-2022,2022,Points given by the jury,portugal,greece,5
885,turin-2022,2022,Points given by the jury,slovenia,greece,5
886,turin-2022,2022,Points given by the jury,switzerland,greece,10
887,turin-2022,2022,Points given by the jury,ukraine,greece,7
888,turin-2022,2022,Points given by televoters,albania,greece,10
889,turin-2022,2022,Points given by televoters,armenia,greece,10
890,turin-2022,2022,Points given by televoters,bulgaria,greece,7
891,turin-2022,2022,Points given by televoters,france,greece,1
892,turin-2022,2022,Points given by televoters,italy,greece,3
893,turin-2022,2022,Points given by televoters,moldova,greece,1
894,turin-2022,2022,Points given by televoters,the netherlands,greece,3
895,turin-2022,2022,Points given by televoters,norway,greece,12
896,turin-2022,2022,Points given by televoters,portugal,greece,4
897,turin-2022,2022,Points given by televoters,slovenia,greece,8
898,turin-2022,2022,Points given by televoters,ukraine,greece,1
899,turin-2022,2022,Points given by the jury,albania,portugal,4
900,turin-2022,2022,Points given by the jury,armenia,portugal,10
901,turin-2022,2022,Points given by the jury,austria,portugal,10
902,turin-2022,2022,Points given by the jury,bulgaria,portugal,5
903,turin-2022,2022,Points given by the jury,croatia,portugal,12
904,turin-2022,2022,Points given by the jury,denmark,portugal,8
905,turin-2022,2022,Points given by the jury,france,portugal,6
906,turin-2022,2022,Points given by the jury,greece,portugal,5
907,turin-2022,2022,Points given by the jury,iceland,portugal,6
908,turin-2022,2022,Points given by the jury,latvia,portugal,5
909,turin-2022,2022,Points given by the jury,lithuania,portugal,7
910,turin-2022,2022,Points given by the jury,moldova,portugal,5
911,turin-2022,2022,Points given by the jury,the netherlands,portugal,10
912,turin-2022,2022,Points given by the jury,norway,portugal,10
913,turin-2022,2022,Points given by the jury,slovenia,portugal,6
914,turin-2022,2022,Points given by the jury,switzerland,portugal,4
915,turin-2022,2022,Points given by the jury,ukraine,portugal,8
916,turin-2022,2022,Points given by televoters,albania,portugal,5
917,turin-2022,2022,Points given by televoters,armenia,portugal,8
918,turin-2022,2022,Points given by televoters,austria,portugal,1
919,turin-2022,2022,Points given by televoters,bulgaria,portugal,6
920,turin-2022,2022,Points given by televoters,croatia,portugal,1
921,turin-2022,2022,Points given by televoters,denmark,portugal,3
922,turin-2022,2022,Points given by televoters,france,portugal,8
923,turin-2022,2022,Points given by televoters,greece,portugal,3
924,turin-2022,2022,Points given by televoters,iceland,portugal,2
925,turin-2022,2022,Points given by televoters,italy,portugal,6
926,turin-2022,2022,Points given by televoters,latvia,portugal,6
927,turin-2022,2022,Points given by televoters,lithuania,portugal,8
928,turin-2022,2022,Points given by televoters,moldova,portugal,4
929,turin-2022,2022,Points given by televoters,the netherlands,portugal,6
930,turin-2022,2022,Points given by televoters,norway,portugal,2
931,turin-2022,2022,Points given by televoters,slovenia,portugal,2
932,turin-2022,2022,Points given by televoters,switzerland,portugal,12
933,turin-2022,2022,Points given by televoters,ukraine,portugal,4
934,turin-2022,2022,Points given by the jury,albania,armenia,7
935,turin-2022,2022,Points given by the jury,austria,armenia,12
936,turin-2022,2022,Points given by the jury,bulgaria,armenia,8
937,turin-2022,2022,Points given by the jury,croatia,armenia,1
938,turin-2022,2022,Points given by the jury,denmark,armenia,2
939,turin-2022,2022,Points given by the jury,france,armenia,7
940,turin-2022,2022,Points given by the jury,iceland,armenia,3
941,turin-2022,2022,Points given by the jury,italy,armenia,8
942,turin-2022,2022,Points given by the jury,latvia,armenia,2
943,turin-2022,2022,Points given by the jury,moldova,armenia,6
944,turin-2022,2022,Points given by the jury,the netherlands,armenia,4
945,turin-2022,2022,Points given by the jury,norway,armenia,7
946,turin-2022,2022,Points given by the jury,portugal,armenia,3
947,turin-2022,2022,Points given by the jury,slovenia,armenia,1
948,turin-2022,2022,Points given by the jury,switzerland,armenia,1
949,turin-2022,2022,Points given by the jury,ukraine,armenia,10
950,turin-2022,2022,Points given by televoters,albania,armenia,7
951,turin-2022,2022,Points given by televoters,austria,armenia,8
952,turin-2022,2022,Points given by televoters,bulgaria,armenia,10
953,turin-2022,2022,Points given by televoters,croatia,armenia,5
954,turin-2022,2022,Points given by televoters,denmark,armenia,5
955,turin-2022,2022,Points given by televoters,france,armenia,12
956,turin-2022,2022,Points given by televoters,greece,armenia,8
957,turin-2022,2022,Points given by televoters,iceland,armenia,3
958,turin-2022,2022,Points given by televoters,italy,armenia,7
959,turin-2022,2022,Points given by televoters,latvia,armenia,4
960,turin-2022,2022,Points given by televoters,lithuania,armenia,4
961,turin-2022,2022,Points given by televoters,moldova,armenia,7
962,turin-2022,2022,Points given by televoters,the netherlands,armenia,8
963,turin-2022,2022,Points given by televoters,norway,armenia,5
964,turin-2022,2022,Points given by televoters,portugal,armenia,5
965,turin-2022,2022,Points given by televoters,switzerland,armenia,5
966,turin-2022,2022,Points given by televoters,ukraine,armenia,2
967,turin-2022,2022,Points given by the jury,albania,norway,2
968,turin-2022,2022,Points given by the jury,armenia,norway,6
969,turin-2022,2022,Points given by the jury,austria,norway,4
970,turin-2022,2022,Points given by the jury,bulgaria,norway,7
971,turin-2022,2022,Points given by the jury,denmark,norway,3
972,turin-2022,2022,Points given by the jury,france,norway,3
973,turin-2022,2022,Points given by the jury,greece,norway,1
974,turin-2022,2022,Points given by the jury,iceland,norway,12
975,turin-2022,2022,Points given by the jury,latvia,norway,7
976,turin-2022,2022,Points given by the jury,lithuania,norway,3
977,turin-2022,2022,Points given by the jury,moldova,norway,7
978,turin-2022,2022,Points given by the jury,the netherlands,norway,6
979,turin-2022,2022,Points given by the jury,portugal,norway,2
980,turin-2022,2022,Points given by the jury,slovenia,norway,2
981,turin-2022,2022,Points given by the jury,switzerland,norway,7
982,turin-2022,2022,Points given by the jury,ukraine,norway,1
983,turin-2022,2022,Points given by televoters,albania,norway,2
984,turin-2022,2022,Points given by televoters,armenia,norway,3
985,turin-2022,2022,Points given by televoters,austria,norway,7
986,turin-2022,2022,Points given by televoters,bulgaria,norway,4
987,turin-2022,2022,Points given by televoters,croatia,norway,7
988,turin-2022,2022,Points given by televoters,denmark,norway,10
989,turin-2022,2022,Points given by televoters,france,norway,2
990,turin-2022,2022,Points given by televoters,greece,norway,7
991,turin-2022,2022,Points given by televoters,iceland,norway,10
992,turin-2022,2022,Points given by televoters,italy,norway,5
993,turin-2022,2022,Points given by televoters,latvia,norway,7
994,turin-2022,2022,Points given by televoters,lithuania,norway,5
995,turin-2022,2022,Points given by televoters,moldova,norway,10
996,turin-2022,2022,Points given by televoters,the netherlands,norway,7
997,turin-2022,2022,Points given by televoters,portugal,norway,7
998,turin-2022,2022,Points given by televoters,slovenia,norway,4
999,turin-2022,2022,Points given by televoters,ukraine,norway,7
1000,turin-2022,2022,Points given by the jury,croatia,lithuania,10
1001,turin-2022,2022,Points given by the jury,denmark,lithuania,5
1002,turin-2022,2022,Points given by the jury,france,lithuania,2
1003,turin-2022,2022,Points given by the jury,iceland,lithuania,8
1004,turin-2022,2022,Points given by the jury,italy,lithuania,2
1005,turin-2022,2022,Points given by the jury,latvia,lithuania,1
1006,turin-2022,2022,Points given by the jury,the netherlands,lithuania,2
1007,turin-2022,2022,Points given by the jury,norway,lithuania,5
1008,turin-2022,2022,Points given by the jury,portugal,lithuania,6
1009,turin-2022,2022,Points given by the jury,slovenia,lithuania,12
1010,turin-2022,2022,Points given by the jury,switzerland,lithuania,3
1011,turin-2022,2022,Points given by televoters,albania,lithuania,1
1012,turin-2022,2022,Points given by televoters,armenia,lithuania,7
1013,turin-2022,2022,Points given by televoters,austria,lithuania,4
1014,turin-2022,2022,Points given by televoters,bulgaria,lithuania,5
1015,turin-2022,2022,Points given by televoters,croatia,lithuania,6
1016,turin-2022,2022,Points given by televoters,denmark,lithuania,8
1017,turin-2022,2022,Points given by televoters,france,lithuania,6
1018,turin-2022,2022,Points given by televoters,greece,lithuania,5
1019,turin-2022,2022,Points given by televoters,iceland,lithuania,5
1020,turin-2022,2022,Points given by televoters,italy,lithuania,1
1021,turin-2022,2022,Points given by televoters,latvia,lithuania,10
1022,turin-2022,2022,Points given by televoters,moldova,lithuania,6
1023,turin-2022,2022,Points given by televoters,the netherlands,lithuania,5
1024,turin-2022,2022,Points given by televoters,norway,lithuania,8
1025,turin-2022,2022,Points given by televoters,portugal,lithuania,6
1026,turin-2022,2022,Points given by televoters,slovenia,lithuania,5
1027,turin-2022,2022,Points given by televoters,switzerland,lithuania,3
1028,turin-2022,2022,Points given by televoters,ukraine,lithuania,12
1029,turin-2022,2022,Points given by the jury,armenia,moldova,1
1030,turin-2022,2022,Points given by the jury,bulgaria,moldova,1
1031,turin-2022,2022,Points given by the jury,greece,moldova,7
1032,turin-2022,2022,Points given by the jury,italy,moldova,5
1033,turin-2022,2022,Points given by the jury,lithuania,moldova,1
1034,turin-2022,2022,Points given by the jury,norway,moldova,1
1035,turin-2022,2022,Points given by the jury,portugal,moldova,1
1036,turin-2022,2022,Points given by the jury,ukraine,moldova,2
1037,turin-2022,2022,Points given by televoters,armenia,moldova,6
1038,turin-2022,2022,Points given by televoters,austria,moldova,10
1039,turin-2022,2022,Points given by televoters,bulgaria,moldova,8
1040,turin-2022,2022,Points given by televoters,croatia,moldova,10
1041,turin-2022,2022,Points given by televoters,denmark,moldova,6
1042,turin-2022,2022,Points given by televoters,france,moldova,7
1043,turin-2022,2022,Points given by televoters,greece,moldova,6
1044,turin-2022,2022,Points given by televoters,iceland,moldova,7
1045,turin-2022,2022,Points given by televoters,italy,moldova,10
1046,turin-2022,2022,Points given by televoters,latvia,moldova,8
1047,turin-2022,2022,Points given by televoters,lithuania,moldova,7
1048,turin-2022,2022,Points given by televoters,the netherlands,moldova,10
1049,turin-2022,2022,Points given by televoters,norway,moldova,6
1050,turin-2022,2022,Points given by televoters,portugal,moldova,10
1051,turin-2022,2022,Points given by televoters,slovenia,moldova,7
1052,turin-2022,2022,Points given by televoters,switzerland,moldova,7
1053,turin-2022,2022,Points given by televoters,ukraine,moldova,10
1054,turin-2022,2022,Points given by the jury,albania,switzerland,6
1055,turin-2022,2022,Points given by the jury,armenia,switzerland,5
1056,turin-2022,2022,Points given by the jury,austria,switzerland,7
1057,turin-2022,2022,Points given by the jury,bulgaria,switzerland,12
1058,turin-2022,2022,Points given by the jury,croatia,switzerland,6
1059,turin-2022,2022,Points given by the jury,denmark,switzerland,6
1060,turin-2022,2022,Points given by the jury,france,switzerland,5
1061,turin-2022,2022,Points given by the jury,iceland,switzerland,5
1062,turin-2022,2022,Points given by the jury,italy,switzerland,6
1063,turin-2022,2022,Points given by the jury,latvia,switzerland,4
1064,turin-2022,2022,Points given by the jury,lithuania,switzerland,10
1065,turin-2022,2022,Points given by the jury,moldova,switzerland,10
1066,turin-2022,2022,Points given by the jury,the netherlands,switzerland,7
1067,turin-2022,2022,Points given by the jury,norway,switzerland,4
1068,turin-2022,2022,Points given by the jury,portugal,switzerland,4
1069,turin-2022,2022,Points given by the jury,slovenia,switzerland,4
1070,turin-2022,2022,Points given by the jury,ukraine,switzerland,6
1071,turin-2022,2022,Points given by televoters,armenia,switzerland,1
1072,turin-2022,2022,Points given by televoters,austria,switzerland,3
1073,turin-2022,2022,Points given by televoters,denmark,switzerland,1
1074,turin-2022,2022,Points given by televoters,iceland,switzerland,1
1075,turin-2022,2022,Points given by televoters,lithuania,switzerland,3
1076,turin-2022,2022,Points given by televoters,the netherlands,switzerland,2
1077,turin-2022,2022,Points given by the jury,albania,iceland,5
1078,turin-2022,2022,Points given by the jury,armenia,iceland,3
1079,turin-2022,2022,Points given by the jury,austria,iceland,2
1080,turin-2022,2022,Points given by the jury,croatia,iceland,4
1081,turin-2022,2022,Points given by the jury,denmark,iceland,4
1082,turin-2022,2022,Points given by the jury,france,iceland,4
1083,turin-2022,2022,Points given by the jury,latvia,iceland,8
1084,turin-2022,2022,Points given by the jury,lithuania,iceland,4
1085,turin-2022,2022,Points given by the jury,moldova,iceland,3
1086,turin-2022,2022,Points given by the jury,the netherlands,iceland,5
1087,turin-2022,2022,Points given by the jury,norway,iceland,2
1088,turin-2022,2022,Points given by the jury,portugal,iceland,10
1089,turin-2022,2022,Points given by the jury,switzerland,iceland,6
1090,turin-2022,2022,Points given by the jury,ukraine,iceland,4
1091,turin-2022,2022,Points given by televoters,denmark,iceland,7
1092,turin-2022,2022,Points given by televoters,france,iceland,3
1093,turin-2022,2022,Points given by televoters,latvia,iceland,5
1094,turin-2022,2022,Points given by televoters,lithuania,iceland,2
1095,turin-2022,2022,Points given by televoters,the netherlands,iceland,4
1096,turin-2022,2022,Points given by televoters,norway,iceland,7
1097,turin-2022,2022,Points given by televoters,portugal,iceland,2
1098,turin-2022,2022,Points given by televoters,switzerland,iceland,1
1099,turin-2022,2022,Points given by televoters,ukraine,iceland,8
1100,turin-2022,2022,Points given by the jury,albania,croatia,3
1101,turin-2022,2022,Points given by the jury,armenia,croatia,4
1102,turin-2022,2022,Points given by the jury,austria,croatia,3
1103,turin-2022,2022,Points given by the jury,bulgaria,croatia,6
1104,turin-2022,2022,Points given by the jury,greece,croatia,8
1105,turin-2022,2022,Points given by the jury,italy,croatia,4
1106,turin-2022,2022,Points given by the jury,the netherlands,croatia,3
1107,turin-2022,2022,Points given by the jury,slovenia,croatia,8
1108,turin-2022,2022,Points given by the jury,ukraine,croatia,3
1109,turin-2022,2022,Points given by televoters,albania,croatia,6
1110,turin-2022,2022,Points given by televoters,austria,croatia,6
1111,turin-2022,2022,Points given by televoters,bulgaria,croatia,2
1112,turin-2022,2022,Points given by televoters,portugal,croatia,1
1113,turin-2022,2022,Points given by televoters,slovenia,croatia,12
1114,turin-2022,2022,Points given by televoters,switzerland,croatia,6
1115,turin-2022,2022,Points given by the jury,greece,albania,12
1116,turin-2022,2022,Points given by televoters,armenia,albania,2
1117,turin-2022,2022,Points given by televoters,austria,albania,2
1118,turin-2022,2022,Points given by televoters,bulgaria,albania,1
1119,turin-2022,2022,Points given by televoters,croatia,albania,2
1120,turin-2022,2022,Points given by televoters,france,albania,5
1121,turin-2022,2022,Points given by televoters,greece,albania,12
1122,turin-2022,2022,Points given by televoters,italy,albania,8
1123,turin-2022,2022,Points given by televoters,slovenia,albania,6
1124,turin-2022,2022,Points given by televoters,switzerland,albania,8
1125,turin-2022,2022,Points given by the jury,austria,denmark,5
1126,turin-2022,2022,Points given by the jury,bulgaria,denmark,2
1127,turin-2022,2022,Points given by the jury,croatia,denmark,3
1128,turin-2022,2022,Points given by the jury,iceland,denmark,1
1129,turin-2022,2022,Points given by the jury,latvia,denmark,6
1130,turin-2022,2022,Points given by the jury,lithuania,denmark,5
1131,turin-2022,2022,Points given by the jury,norway,denmark,3
1132,turin-2022,2022,Points given by the jury,switzerland,denmark,5
1133,turin-2022,2022,Points given by the jury,ukraine,denmark,5
1134,turin-2022,2022,Points given by televoters,iceland,denmark,6
1135,turin-2022,2022,Points given by televoters,latvia,denmark,2
1136,turin-2022,2022,Points given by televoters,lithuania,denmark,1
1137,turin-2022,2022,Points given by televoters,moldova,denmark,3
1138,turin-2022,2022,Points given by televoters,norway,denmark,4
1139,turin-2022,2022,Points given by televoters,portugal,denmark,3
1140,turin-2022,2022,Points given by televoters,slovenia,denmark,1
1141,turin-2022,2022,Points given by the jury,armenia,latvia,2
1142,turin-2022,2022,Points given by the jury,austria,latvia,1
1143,turin-2022,2022,Points given by the jury,bulgaria,latvia,3
1144,turin-2022,2022,Points given by the jury,denmark,latvia,1
1145,turin-2022,2022,Points given by the jury,greece,latvia,4
1146,turin-2022,2022,Points given by the jury,iceland,latvia,4
1147,turin-2022,2022,Points given by the jury,italy,latvia,1
1148,turin-2022,2022,Points given by the jury,lithuania,latvia,2
1149,turin-2022,2022,Points given by the jury,moldova,latvia,4
1150,turin-2022,2022,Points given by the jury,portugal,latvia,12
1151,turin-2022,2022,Points given by the jury,slovenia,latvia,3
1152,turin-2022,2022,Points given by the jury,switzerland,latvia,2
1153,turin-2022,2022,Points given by televoters,lithuania,latvia,10
1154,turin-2022,2022,Points given by televoters,the netherlands,latvia,1
1155,turin-2022,2022,Points given by televoters,ukraine,latvia,5
1156,turin-2022,2022,Points given by the jury,france,austria,1
1157,turin-2022,2022,Points given by the jury,greece,austria,2
1158,turin-2022,2022,Points given by the jury,italy,austria,3
1159,turin-2022,2022,Points given by televoters,albania,austria,4
1160,turin-2022,2022,Points given by televoters,armenia,austria,5
1161,turin-2022,2022,Points given by televoters,croatia,austria,4
1162,turin-2022,2022,Points given by televoters,denmark,austria,2
1163,turin-2022,2022,Points given by televoters,greece,austria,2
1164,turin-2022,2022,Points given by televoters,iceland,austria,4
1165,turin-2022,2022,Points given by televoters,italy,austria,2
1166,turin-2022,2022,Points given by televoters,latvia,austria,1
1167,turin-2022,2022,Points given by televoters,moldova,austria,2
1168,turin-2022,2022,Points given by televoters,norway,austria,3
1169,turin-2022,2022,Points given by televoters,switzerland,austria,4
1170,turin-2022,2022,Points given by televoters,ukraine,austria,3
1171,turin-2022,2022,Points given by the jury,albania,bulgaria,1
1172,turin-2022,2022,Points given by the jury,greece,bulgaria,10
1173,turin-2022,2022,Points given by televoters,albania,bulgaria,12
1174,turin-2022,2022,Points given by televoters,greece,bulgaria,1
1175,turin-2022,2022,Points given by televoters,moldova,bulgaria,5
1176,turin-2022,2022,Points given by the jury,croatia,slovenia,5
1177,turin-2022,2022,Points given by the jury,moldova,slovenia,1
1178,turin-2022,2022,Points given by the jury,the netherlands,slovenia,1
1179,turin-2022,2022,Points given by televoters,croatia,slovenia,8
1180,turin-2022,2022,Points given by the jury,australia,sweden,12
1181,turin-2022,2022,Points given by the jury,azerbaijan,sweden,12
1182,turin-2022,2022,Points given by the jury,belgium,sweden,10
1183,turin-2022,2022,Points given by the jury,cyprus,sweden,12
1184,turin-2022,2022,Points given by the jury,czech republic,sweden,12
1185,turin-2022,2022,Points given by the jury,estonia,sweden,12
1186,turin-2022,2022,Points given by the jury,finland,sweden,12
1187,turin-2022,2022,Points given by the jury,georgia,sweden,12
1188,turin-2022,2022,Points given by the jury,germany,sweden,7
1189,turin-2022,2022,Points given by the jury,ireland,sweden,12
1190,turin-2022,2022,Points given by the jury,israel,sweden,12
1191,turin-2022,2022,Points given by the jury,malta,sweden,12
1192,turin-2022,2022,Points given by the jury,montenegro,sweden,12
1193,turin-2022,2022,Points given by the jury,north macedonia,sweden,7
1194,turin-2022,2022,Points given by the jury,poland,sweden,12
1195,turin-2022,2022,Points given by the jury,romania,sweden,12
1196,turin-2022,2022,Points given by the jury,san marino,sweden,12
1197,turin-2022,2022,Points given by the jury,serbia,sweden,12
1198,turin-2022,2022,Points given by the jury,spain,sweden,6
1199,turin-2022,2022,Points given by the jury,united kingdom,sweden,12
1200,turin-2022,2022,Points given by televoters,australia,sweden,10
1201,turin-2022,2022,Points given by televoters,azerbaijan,sweden,8
1202,turin-2022,2022,Points given by televoters,belgium,sweden,10
1203,turin-2022,2022,Points given by televoters,cyprus,sweden,7
1204,turin-2022,2022,Points given by televoters,czech republic,sweden,6
1205,turin-2022,2022,Points given by televoters,estonia,sweden,10
1206,turin-2022,2022,Points given by televoters,finland,sweden,10
1207,turin-2022,2022,Points given by televoters,georgia,sweden,8
1208,turin-2022,2022,Points given by televoters,germany,sweden,8
1209,turin-2022,2022,Points given by televoters,ireland,sweden,10
1210,turin-2022,2022,Points given by televoters,israel,sweden,12
1211,turin-2022,2022,Points given by televoters,malta,sweden,10
1212,turin-2022,2022,Points given by televoters,montenegro,sweden,6
1213,turin-2022,2022,Points given by televoters,north macedonia,sweden,7
1214,turin-2022,2022,Points given by televoters,poland,sweden,12
1215,turin-2022,2022,Points given by televoters,romania,sweden,12
1216,turin-2022,2022,Points given by televoters,san marino,sweden,10
1217,turin-2022,2022,Points given by televoters,serbia,sweden,5
1218,turin-2022,2022,Points given by televoters,spain,sweden,8
1219,turin-2022,2022,Points given by televoters,united kingdom,sweden,5
1220,turin-2022,2022,Points given by the jury,azerbaijan,australia,10
1221,turin-2022,2022,Points given by the jury,belgium,australia,8
1222,turin-2022,2022,Points given by the jury,cyprus,australia,10
1223,turin-2022,2022,Points given by the jury,czech republic,australia,8
1224,turin-2022,2022,Points given by the jury,estonia,australia,10
1225,turin-2022,2022,Points given by the jury,finland,australia,10
1226,turin-2022,2022,Points given by the jury,georgia,australia,10
1227,turin-2022,2022,Points given by the jury,germany,australia,6
1228,turin-2022,2022,Points given by the jury,ireland,australia,5
1229,turin-2022,2022,Points given by the jury,israel,australia,10
1230,turin-2022,2022,Points given by the jury,malta,australia,10
1231,turin-2022,2022,Points given by the jury,montenegro,australia,10
1232,turin-2022,2022,Points given by the jury,north macedonia,australia,5
1233,turin-2022,2022,Points given by the jury,poland,australia,10
1234,turin-2022,2022,Points given by the jury,romania,australia,10
1235,turin-2022,2022,Points given by the jury,san marino,australia,10
1236,turin-2022,2022,Points given by the jury,serbia,australia,2
1237,turin-2022,2022,Points given by the jury,spain,australia,10
1238,turin-2022,2022,Points given by the jury,sweden,australia,12
1239,turin-2022,2022,Points given by the jury,united kingdom,australia,3
1240,turin-2022,2022,Points given by televoters,azerbaijan,australia,7
1241,turin-2022,2022,Points given by televoters,belgium,australia,3
1242,turin-2022,2022,Points given by televoters,cyprus,australia,4
1243,turin-2022,2022,Points given by televoters,czech republic,australia,5
1244,turin-2022,2022,Points given by televoters,estonia,australia,5
1245,turin-2022,2022,Points given by televoters,finland,australia,6
1246,turin-2022,2022,Points given by televoters,georgia,australia,2
1247,turin-2022,2022,Points given by televoters,germany,australia,3
1248,turin-2022,2022,Points given by televoters,ireland,australia,7
1249,turin-2022,2022,Points given by televoters,israel,australia,6
1250,turin-2022,2022,Points given by televoters,malta,australia,7
1251,turin-2022,2022,Points given by televoters,montenegro,australia,3
1252,turin-2022,2022,Points given by televoters,poland,australia,2
1253,turin-2022,2022,Points given by televoters,romania,australia,3
1254,turin-2022,2022,Points given by televoters,san marino,australia,7
1255,turin-2022,2022,Points given by televoters,sweden,australia,4
1256,turin-2022,2022,Points given by the jury,australia,serbia,4
1257,turin-2022,2022,Points given by the jury,azerbaijan,serbia,3
1258,turin-2022,2022,Points given by the jury,belgium,serbia,2
1259,turin-2022,2022,Points given by the jury,cyprus,serbia,5
1260,turin-2022,2022,Points given by the jury,finland,serbia,8
1261,turin-2022,2022,Points given by the jury,georgia,serbia,2
1262,turin-2022,2022,Points given by the jury,ireland,serbia,7
1263,turin-2022,2022,Points given by the jury,israel,serbia,1
1264,turin-2022,2022,Points given by the jury,montenegro,serbia,7
1265,turin-2022,2022,Points given by the jury,north macedonia,serbia,12
1266,turin-2022,2022,Points given by the jury,san marino,serbia,2
1267,turin-2022,2022,Points given by the jury,spain,serbia,5
1268,turin-2022,2022,Points given by the jury,united kingdom,serbia,5
1269,turin-2022,2022,Points given by televoters,australia,serbia,12
1270,turin-2022,2022,Points given by televoters,belgium,serbia,6
1271,turin-2022,2022,Points given by televoters,cyprus,serbia,12
1272,turin-2022,2022,Points given by televoters,czech republic,serbia,12
1273,turin-2022,2022,Points given by televoters,estonia,serbia,4
1274,turin-2022,2022,Points given by televoters,finland,serbia,8
1275,turin-2022,2022,Points given by televoters,georgia,serbia,12
1276,turin-2022,2022,Points given by televoters,germany,serbia,10
1277,turin-2022,2022,Points given by televoters,ireland,serbia,4
1278,turin-2022,2022,Points given by televoters,israel,serbia,8
1279,turin-2022,2022,Points given by televoters,malta,serbia,12
1280,turin-2022,2022,Points given by televoters,montenegro,serbia,12
1281,turin-2022,2022,Points given by televoters,north macedonia,serbia,12
1282,turin-2022,2022,Points given by televoters,poland,serbia,7
1283,turin-2022,2022,Points given by televoters,romania,serbia,10
1284,turin-2022,2022,Points given by televoters,san marino,serbia,12
1285,turin-2022,2022,Points given by televoters,spain,serbia,5
1286,turin-2022,2022,Points given by televoters,sweden,serbia,10
1287,turin-2022,2022,Points given by televoters,united kingdom,serbia,6
1288,turin-2022,2022,Points given by the jury,australia,czech republic,2
1289,turin-2022,2022,Points given by the jury,azerbaijan,czech republic,6
1290,turin-2022,2022,Points given by the jury,belgium,czech republic,4
1291,turin-2022,2022,Points given by the jury,cyprus,czech republic,4
1292,turin-2022,2022,Points given by the jury,estonia,czech republic,7
1293,turin-2022,2022,Points given by the jury,finland,czech republic,6
1294,turin-2022,2022,Points given by the jury,georgia,czech republic,6
1295,turin-2022,2022,Points given by the jury,ireland,czech republic,10
1296,turin-2022,2022,Points given by the jury,israel,czech republic,6
1297,turin-2022,2022,Points given by the jury,malta,czech republic,7
1298,turin-2022,2022,Points given by the jury,montenegro,czech republic,2
1299,turin-2022,2022,Points given by the jury,poland,czech republic,8
1300,turin-2022,2022,Points given by the jury,romania,czech republic,8
1301,turin-2022,2022,Points given by the jury,san marino,czech republic,6
1302,turin-2022,2022,Points given by the jury,serbia,czech republic,4
1303,turin-2022,2022,Points given by the jury,sweden,czech republic,6
1304,turin-2022,2022,Points given by the jury,united kingdom,czech republic,10
1305,turin-2022,2022,Points given by televoters,australia,czech republic,7
1306,turin-2022,2022,Points given by televoters,azerbaijan,czech republic,2
1307,turin-2022,2022,Points given by televoters,belgium,czech republic,5
1308,turin-2022,2022,Points given by televoters,cyprus,czech republic,5
1309,turin-2022,2022,Points given by televoters,estonia,czech republic,8
1310,turin-2022,2022,Points given by televoters,finland,czech republic,7
1311,turin-2022,2022,Points given by televoters,georgia,czech republic,4
1312,turin-2022,2022,Points given by televoters,germany,czech republic,6
1313,turin-2022,2022,Points given by televoters,ireland,czech republic,8
1314,turin-2022,2022,Points given by televoters,israel,czech republic,10
1315,turin-2022,2022,Points given by televoters,malta,czech republic,2
1316,turin-2022,2022,Points given by televoters,montenegro,czech republic,4
1317,turin-2022,2022,Points given by televoters,north macedonia,czech republic,6
1318,turin-2022,2022,Points given by televoters,poland,czech republic,8
1319,turin-2022,2022,Points given by televoters,romania,czech republic,6
1320,turin-2022,2022,Points given by televoters,san marino,czech republic,6
1321,turin-2022,2022,Points given by televoters,serbia,czech republic,7
1322,turin-2022,2022,Points given by televoters,spain,czech republic,10
1323,turin-2022,2022,Points given by televoters,sweden,czech republic,6
1324,turin-2022,2022,Points given by televoters,united kingdom,czech republic,8
1325,turin-2022,2022,Points given by the jury,australia,estonia,5
1326,turin-2022,2022,Points given by the jury,azerbaijan,estonia,7
